model,stage,source_log,absolute_epoch,relative_epoch,loss,ce,smooth,contrast,action_aux,rollout
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,66.0,61.0,6.0762,6.073,0.0053,0.0485,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,67.0,62.0,6.0747,6.0714,0.005,0.0491,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,68.0,63.0,6.0733,6.0699,0.005,0.0497,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,69.0,64.0,6.0783,6.075,0.0054,0.0475,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,70.0,65.0,6.0777,6.0743,0.0054,0.048,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,71.0,66.0,6.0788,6.0755,0.0053,0.0468,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,72.0,67.0,6.0764,6.073,0.0052,0.0472,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,73.0,68.0,6.0759,6.0724,0.0053,0.0472,,
AdaLN,quick,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/quick_ablation_adaln_only_e5s500.log,0.0,0.0,5.793,5.793,0.0,0.0,0.0,0.0
AdaLN,quick,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/quick_ablation_adaln_only_e5s500.log,1.0,1.0,4.5318,4.5317,1.0153,0.0,0.0,0.0
AdaLN,quick,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/quick_ablation_adaln_only_e5s500.log,2.0,2.0,4.2368,4.2367,1.4344,0.0,0.0,0.0
AdaLN,quick,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/quick_ablation_adaln_only_e5s500.log,3.0,3.0,4.2246,4.2245,1.5172,0.0,0.0,0.0
AdaLN,quick,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/quick_ablation_adaln_only_e5s500.log,4.0,4.0,4.1462,4.1459,1.6647,0.0,0.0,0.0
